Country,corruption,employment,HDI,life_exp,pop_dens,ppp,prosperity,a,b,c,d
Ethiopia,32.08264727,79.03427263,0.439953194,62.81963636,95.65459909,1845.487727,39.56742141,-4.178174047,3.360599401,0.087894366,0.583856959
Finland,88.91266091,54.26245533,0.914108243,80.54678492,17.86455988,43096.39936,81.62804733,-49.32574908,2.550903076,0.091426228,0.649934405
France,69.82278545,50.43909073,0.881931431,81.97716186,120.3249474,42374.65182,75.75963162,-825.9228676,3.372276552,0.115608721,1.865592017
Gabon,32.34818364,40.65145423,0.680420102,62.76345455,7.05146223,17683.68345,49.33303362,0.551779102,11.00741265,0.173384723,-2.776457768
Georgia,50.21179,56.28527277,0.758106811,72.08490909,65.66128499,9783.566636,58.90329868,-13.39204309,2.964807868,0.069779942,1.392116231
Germany,79.86013091,57.17581836,0.929013781,80.38847007,233.9291647,47900.20982,80.20864161,-1601.836739,2.972870536,0.111983905,2.92897696
Ghana,42.68250909,63.93563635,0.574660717,61.68836364,117.0425128,5669.189182,52.77467068,-85.4579962,4.594863974,0.089328681,2.790353206
Greece,41.53542455,42.4314544,0.862564075,80.70931264,84.90932647,27684.55382,65.19515315,-198.4472216,1.631799727,0.070917628,4.422114283
Guinea,24.37299364,62.2049994,0.43786168,57.89518182,44.64213147,1976.920091,40.51749923,1.315057388,1.161436306,0.368230895,-3.621343289
Honduras,27.53809364,61.55518202,0.607424297,73.77554545,78.58766971,4683.478818,51.43435661,-9.012814662,2.994460554,0.159213793,0.75612342
Hong Kong,77.89983182,58.13454576,0.918769617,83.48691796,6844.632035,57223.17936,79.29624872,,,,
Hungary,49.14131636,49.38709086,0.832539341,74.90110865,109.4859175,27633.14455,66.19735405,-46.85512008,3.788827208,0.108421814,1.984646643
Iceland,80.15820636,72.07463629,0.91679729,82.16252772,3.271876672,48769.07091,79.47575063,-196.4292591,3.02400198,0.07126798,3.813488258
India,37.09007909,51.2590006,0.612217846,67.422,430.2430336,6450.865182,50.02417363,2.846278659,0.041101417,0.168514518,0.299195421
Indonesia,33.84346364,63.83509168,0.686704618,69.80009091,138.9390201,11379.82536,57.36466757,-180.3060165,4.485242942,0.096874378,3.117973877
Iran,26.10942818,38.02209126,0.780819014,74.62918182,47.07769463,18034.772,47.16475186,-4964.844269,3.391003884,0.063542331,6.966989957
Iraq,17.00375273,38.93836316,0.665360253,69.155,76.47313497,16257.89855,41.89310064,-23.1424961,1.094911985,0.09538636,2.985446489
Ireland,74.48730818,55.44018208,0.915039608,80.87960089,67.51795748,62474.843,79.05088758,-267.8340102,2.775975323,0.110693443,3.678241466
